,locations,timeOfDay,stayTime,locationType,placeID,randomized_stay_time,,openHours,parking,diner
2545,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,100.43565243176224,,,,
569,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.945339601614165,,,,
570,Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,220.2879338131879,,,,
571,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,69.78986441362451,,,,
1397,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.48649776333498,,,,
1398,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.43006581977522,,,,
920,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,72.04012289172998,,,,
919,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,69.16402232465906,,,,
918,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.64266123385748,,,,
1998,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,160.52819436550286,,,,
3111,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,120.01952690226884,,,,
215,Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,202.87976678483932,,,,
214,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,81.29476370730207,,,,
213,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,26.617585577216815,,,,
1989,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,184.4441855917243,,,,
2570,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,102.6242925305833,,,,
1986,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,185.5732984051752,,,,
1417,Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,207.2436876479831,,,,
3391,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,118.68555010667671,,,,
1985,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.6734856797296,,,,
2533,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,100.62228691960176,,,,
2441,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,95.51279242,,,,
3356,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,117.28483661267487,,,,
945,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,39.70438501106072,,,,
1352,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,137.62747521980157,,,,
963,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,130.46765121134405,,,,
2981,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,121.83873576001315,,,,
257,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.93202584706596,,,,
256,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.87900025323181,,,,
255,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.661732556694815,,,,
3308,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,120.35074780721659,,,,
553,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.46856477,,,,
2046,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.36269800883235,,,,
554,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.65609732167704,,,,
3319,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,127.02079993939788,,,,
3320,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,125.86095544012716,,,,
3321,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,106.21061798332545,,,,
2037,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,173.83930979583315,,,,
2036,Colombo City Center (CCC),Morning,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,172.32850860913533,,,,
947,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,60.32666576990416,,,,
3329,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,110.44864074529315,,,,
2020,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,164.20958157392488,,,,
1380,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,111.70119845588414,,,,
1381,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,54.80384598804072,,,,
946,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,79.64683269,,,,
3347,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,113.39315362900146,,,,
2433,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,86.13658192931294,,,,
1019,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,38.22439696007848,,,,
3243,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,126.63799269506092,,,,
1083,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,105.76658045284434,,,,
1082,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,53.32367935835373,,,,
1081,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.97650536150753,,,,
1175,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.718567189671475,,,,
1176,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,117.40610058991152,,,,
1177,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,106.56816428335391,,,,
3151,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.59821267853124,,,,
3152,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,113.34709489420884,,,,
3074,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.32533169395498,,,,
2373,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,101.53996618927229,,,,
2392,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,93.71279628296338,,,,
1195,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,133.62580651065176,,,,
1196,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.02156086689149,,,,
386,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,48.92467664050666,,,,
385,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.99920988550599,,,,
2393,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,75.64619567746162,,,,
1209,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,63.09637964870769,,,,
1210,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.75436825390594,,,,
1211,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,40.136118055162385,,,,
469,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,42.41280358,,,,
470,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,53.44810833918599,,,,
3083,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,123.05267548803927,,,,
1061,Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,203.21720502645167,,,,
3143,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,106.43027187161175,,,,
2351,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,78.20859745335554,,,,
3103,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.05094153426379,,,,
3102,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,88.18118577598986,,,,
2315,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,107.05741668931748,,,,
425,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,66.10180772163926,,,,
424,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,86.88663776426964,,,,
2341,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,98.52147819158725,,,,
3117,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,140.69958479018237,,,,
3118,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,114.20825005927733,,,,
2302,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,88.91671063111801,,,,
1147,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,118.73362836574118,,,,
1148,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.544206879071595,,,,
3128,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,111.36033239205554,,,,
442,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,74.38255047583164,,,,
443,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.02907333482679,,,,
444,Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,204.13227231099336,,,,
2289,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,91.54145753354359,,,,
2288,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,90.44694905224956,,,,
1098,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.92177430235765,,,,
1097,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,112.54612921699338,,,,
1096,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.57921770426927,,,,
2271,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,75.05044282359195,,,,
2364,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,70.85292286959603,,,,
3398,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.47413491468173,,,,
1060,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,145.20148079439957,,,,
3061,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.6035337443251,,,,
2174,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.45582319927092,,,,
2172,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,173.53523817855677,,,,
3214,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.36929415710284,,,,
3215,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,129.1101695303272,,,,
2168,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,182.86308463625164,,,,
2167,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.80804981876992,,,,
2162,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,192.28945582527814,,,,
2160,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.52641847793515,,,,
2150,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,177.19423916568118,,,,
2148,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,185.0000973,,,,
2144,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,174.1514630649711,,,,
2143,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,196.15934367479952,,,,
493,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,45.77109448461197,,,,
1275,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,45.32890281799064,,,,
1276,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,70.23522398704048,,,,
1277,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.54485356836452,,,,
494,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,71.44858734944293,,,,
1020,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,133.1252948,,,,
326,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,117.52448264851509,,,,
325,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,127.36064368899702,,,,
324,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,71.23086473800483,,,,
488,Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,211.7996330609381,,,,
1059,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,67.62564449635171,,,,
2192,Colombo City Center (CCC),Morning,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,172.19728391273824,,,,
1043,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.73490152859694,,,,
2401,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,80.55890193404858,,,,
3179,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,137.0556845,,,,
3180,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,126.90661167353224,,,,
2230,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,77.79505993809491,,,,
2229,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,76.77669461366519,,,,
2407,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,94.94914393556289,,,,
2228,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,89.01733466145998,,,,
1228,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,64.68545161061404,,,,
1229,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,56.40140348318802,,,,
2408,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,87.85619224057272,,,,
2212,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,184.07308696098295,,,,
3051,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.31444370066392,,,,
729,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,43.61979620621985,,,,
1044,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.42595049309244,,,,
2193,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,184.6566913471282,,,,
1243,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,56.60836155671738,,,,
1244,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,42.37004336825012,,,,
356,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,113.21078612720349,,,,
355,Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,205.90567988489346,,,,
354,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,43.521052723644544,,,,
3195,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,116.0156819529489,,,,
2418,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,97.44087664,,,,
3399,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,133.44516112762426,,,,
1997,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,158.05330384852874,,,,
2688,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,100.31830027719533,,,,
799,Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,206.72350695838458,,,,
798,Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,199.37361272115876,,,,
1559,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,65.84830394496149,,,,
1560,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,47.39204902278077,,,,
1561,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,35.54911292568872,,,,
797,Colombo City Center (CCC),Morning,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,209.1154837173181,,,,
3543,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,123.17998944432772,,,,
2872,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.84029956754677,,,,
1765,Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,126.56834852672063,,,,
3548,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,109.8383828044872,,,,
2869,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,91.71031546409372,,,,
1756,Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,150.56767475374983,,,,
