Unnamed: 0,locations,stayTime,placeID,randomized_stay_time,Unnamed: 7,openHours,parking,diner,timeOfDay_Evening,timeOfDay_Morning,timeOfDay_Night,locationType_Beaches and Parks,locationType_Miscellaneous,locationType_Museums and Galleries,locationType_Religious Site,locationType_Shopping Center,"new_place_types_art_gallery,tourist_attraction,point_of_interest,establishment","new_place_types_grocery_or_supermarket,food,point_of_interest,store,establishment","new_place_types_grocery_or_supermarket,food,store,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,food,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,point_of_interest,food,establishment","new_place_types_hindu_temple,place_of_worship,point_of_interest,establishment","new_place_types_locality,political","new_place_types_park,point_of_interest,establishment","new_place_types_park,tourist_attraction,point_of_interest,establishment",new_place_types_premise,"new_place_types_shopping_mall,lodging,shoe_store,store,point_of_interest,establishment","new_place_types_shopping_mall,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,lodging,point_of_interest,store,establishment","new_place_types_shopping_mall,shoe_store,lodging,store,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,store,lodging,point_of_interest,establishment","new_place_types_tourist_attraction,museum,point_of_interest,establishment","new_place_types_tourist_attraction,place_of_worship,point_of_interest,establishment","new_place_types_tourist_attraction,point_of_interest,establishment"
975,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,47.87141529047168,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
974,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,41.87142693711901,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2504,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,89.78089578395516,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2505,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,97.16912789240835,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
530,Colombo City Center (CCC),200,ChIJseUqHGtZ4joRgteF9GKSLoc,209.3016671934386,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
292,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,107.3310053693076,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
293,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,45.62653103224832,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2080,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,179.84648004218838,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1010,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,51.267413650019066,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2133,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,179.26088378677574,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1009,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,57.064503687863926,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3255,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,119.03928543667534,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2129,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,168.46011918906817,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2128,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,183.23999386008185,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2125,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,175.4466353087612,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1008,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,37.37999256842841,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2123,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3504016009269,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2122,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,173.35166766986228,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2119,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,178.49945508238622,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2116,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,188.3769024711808,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2442,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,76.53439317163105,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2110,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,166.21882512878165,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3025,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,128.3917911,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
995,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,43.51279150105841,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2096,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,171.0415824777784,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1316,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,41.609590998868335,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1317,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,61.52372902412631,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
994,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,50.899148889134494,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2083,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,181.0901378345504,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1350,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,55.07793229427648,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3306,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,121.49047187580744,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3307,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,116.42929486155832,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1351,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,118.82312516131948,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2009,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,198.2007894796648,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2545,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,100.43565243176224,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
569,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,58.945339601614165,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
570,Colombo City Center (CCC),200,ChIJseUqHGtZ4joRgteF9GKSLoc,220.2879338131879,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
571,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,69.78986441362451,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1397,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,61.48649776333498,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1398,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,103.43006581977522,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
920,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,72.04012289172998,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
919,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,69.16402232465906,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
918,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,50.64266123385748,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1998,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,160.52819436550286,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3111,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,120.01952690226884,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
215,Colombo City Center (CCC),200,ChIJseUqHGtZ4joRgteF9GKSLoc,202.8797667848393,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
214,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,81.29476370730207,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
213,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,26.61758557721681,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1989,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,184.4441855917243,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2570,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,102.6242925305833,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1986,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,185.5732984051752,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1417,Colombo City Center (CCC),200,ChIJseUqHGtZ4joRgteF9GKSLoc,207.2436876479831,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3391,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,118.68555010667671,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1985,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,178.6734856797296,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2533,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,100.62228691960176,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2441,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,95.51279242,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3356,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,117.28483661267488,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
945,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,39.70438501106072,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1352,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,137.62747521980157,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
963,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,130.46765121134405,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2981,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,121.83873576001317,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
257,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,119.93202584706596,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
256,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,122.8790002532318,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
255,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,61.661732556694815,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3308,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,120.3507478072166,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
553,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,58.46856477,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2046,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,175.36269800883235,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
554,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,103.65609732167704,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3319,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,127.02079993939788,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3320,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,125.86095544012716,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3321,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,106.21061798332543,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2037,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,173.83930979583317,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2036,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,172.32850860913533,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
947,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,60.32666576990416,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3329,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,110.44864074529316,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2020,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,164.20958157392488,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1380,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,111.70119845588414,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1381,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,54.80384598804072,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
946,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,79.64683269,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3347,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,113.39315362900146,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2433,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,86.13658192931294,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1019,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,38.22439696007848,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3243,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,126.63799269506092,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1083,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,105.76658045284434,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1082,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,53.32367935835373,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1081,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,61.97650536150753,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1175,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,61.71856718967148,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1176,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,117.40610058991152,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1177,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,106.56816428335392,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3151,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,128.59821267853124,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3152,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,113.34709489420884,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3074,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,128.32533169395498,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2373,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,101.53996618927228,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2392,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,93.71279628296338,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1195,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,133.62580651065176,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1196,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,58.02156086689149,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
386,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,48.92467664050666,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
385,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,50.99920988550599,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2393,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,75.64619567746162,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1209,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,63.09637964870769,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1210,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,115.75436825390594,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1211,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,40.13611805516239,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
