Unnamed: 0,locations,stayTime,locationType,placeID,randomized_stay_time,"new_place_types_art_gallery,tourist_attraction,point_of_interest,establishment","new_place_types_grocery_or_supermarket,food,point_of_interest,store,establishment","new_place_types_grocery_or_supermarket,food,store,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,food,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,point_of_interest,food,establishment","new_place_types_hindu_temple,place_of_worship,point_of_interest,establishment","new_place_types_locality,political","new_place_types_park,point_of_interest,establishment","new_place_types_park,tourist_attraction,point_of_interest,establishment",new_place_types_premise,"new_place_types_shopping_mall,lodging,shoe_store,store,point_of_interest,establishment","new_place_types_shopping_mall,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,lodging,point_of_interest,store,establishment","new_place_types_shopping_mall,shoe_store,lodging,store,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,store,lodging,point_of_interest,establishment","new_place_types_tourist_attraction,museum,point_of_interest,establishment","new_place_types_tourist_attraction,place_of_worship,point_of_interest,establishment","new_place_types_tourist_attraction,point_of_interest,establishment",timeOfDay_Evening,timeOfDay_Morning,timeOfDay_Night
1335,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,52.91304997,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
531,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.0195101,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2485,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,94.83252633,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2999,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,130.210953,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2063,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.1944629,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2998,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.1075432,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
975,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,47.87141529,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
974,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,41.87142694,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2504,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,89.78089578,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2505,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,97.16912789,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
530,Colombo City Center (CCC),200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,209.3016672,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
292,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,107.3310054,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
293,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,45.62653103,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2080,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,179.84648,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1010,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,51.26741365,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2133,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,179.2608838,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1009,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,57.06450369,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3255,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.0392854,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2129,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,168.4601192,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2128,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,183.2399939,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2125,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.4466353,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1008,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,37.37999257,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2123,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3504016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2122,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,173.3516677,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2119,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.4994551,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2116,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,188.3769025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2442,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,76.53439317,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2110,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,166.2188251,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3025,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.3917911,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
995,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,43.5127915,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2096,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,171.0415825,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1316,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,41.609591,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1317,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.52372902,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
994,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.89914889,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2083,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,181.0901378,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1350,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,55.07793229,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3306,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,121.4904719,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3307,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,116.4292949,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1351,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,118.8231252,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2009,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,198.2007895,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2545,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,100.4356524,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
569,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.9453396,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
570,Colombo City Center (CCC),200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,220.2879338,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
571,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,69.78986441,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1397,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.48649776,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1398,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.4300658,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
920,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,72.04012289,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
919,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,69.16402232,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
918,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.64266123,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1998,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,160.5281944,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3111,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,120.0195269,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
215,Colombo City Center (CCC),200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,202.8797668,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
214,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,81.29476371,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
213,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,26.61758558,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1989,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,184.4441856,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2570,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,102.6242925,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1986,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,185.5732984,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1417,Colombo City Center (CCC),200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,207.2436876,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3391,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,118.6855501,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1985,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.6734857,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2533,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,100.6222869,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2441,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,95.51279242,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3356,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,117.2848366,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
945,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,39.70438501,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1352,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,137.6274752,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
963,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,130.4676512,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2981,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,121.8387358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
257,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.9320258,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
256,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.8790003,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
255,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.66173256,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
3308,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,120.3507478,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
553,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.46856477,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2046,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.362698,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
554,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.6560973,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3319,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,127.0207999,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3320,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,125.8609554,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3321,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,106.210618,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2037,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,173.8393098,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2036,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,172.3285086,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
947,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,60.32666577,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3329,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,110.4486407,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2020,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,164.2095816,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1380,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,111.7011985,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1381,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,54.80384599,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
946,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,79.64683269,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3347,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,113.3931536,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2433,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,86.13658193,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1019,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,38.22439696,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3243,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,126.6379927,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1083,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,105.7665805,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1082,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,53.32367936,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1081,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.97650536,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1175,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.71856719,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1176,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,117.4061006,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1177,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,106.5681643,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3151,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.5982127,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3152,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,113.3470949,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3074,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.3253317,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2373,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,101.5399662,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2392,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,93.71279628,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1195,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,133.6258065,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1196,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,58.02156087,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
386,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,48.92467664,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
385,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.99920989,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2393,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,75.64619568,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1209,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,63.09637965,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1210,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.7543683,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1211,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,40.13611806,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
469,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,42.41280358,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
470,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,53.44810834,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3083,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,123.0526755,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1061,Colombo City Center (CCC),200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,203.217205,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3143,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,106.4302719,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2351,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,78.20859745,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3103,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.0509415,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3102,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,88.18118578,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2315,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,107.0574167,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
425,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,66.10180772,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
424,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,86.88663776,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2341,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,98.52147819,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
